model,bin,date,% buy,% sell,% hold
hgbr,2,2011-06-28,0.428956228956229,0.4262626262626263,0.1447811447811448
hgbr,2,2011-07-28,0.4127094972067039,0.40712290502793297,0.18016759776536312
hgbr,2,2011-08-28,0.38321167883211676,0.3795620437956204,0.23722627737226276
hgbr,2,2011-09-28,0.44247205785667326,0.4418145956607495,0.11571334648257725
hgbr,2,2011-10-28,0.4384105960264901,0.43973509933774835,0.12185430463576159
hgbr,2,2011-11-28,0.4541314248536109,0.4528301886792453,0.09303838646714378
hgbr,2,2011-12-28,0.4347532116294794,0.43340094658553074,0.13184584178498987
hgbr,2,2012-01-28,0.425414364640884,0.4219613259668508,0.1526243093922652
hgbr,2,2012-02-28,0.42661179698216734,0.4272976680384088,0.14609053497942387
hgbr,2,2012-03-28,0.4340136054421769,0.4326530612244898,0.13333333333333333
hgbr,2,2012-04-28,0.4427994616419919,0.4387617765814266,0.11843876177658143
hgbr,2,2012-05-28,0.43669600541638454,0.43601895734597157,0.12728503723764387
hgbr,2,2012-06-28,0.45798045602605864,0.45798045602605864,0.08403908794788274
hgbr,2,2012-07-28,0.4438430311231394,0.4397834912043302,0.11637347767253045
hgbr,2,2012-08-28,0.43741496598639457,0.4380952380952381,0.12448979591836734
hgbr,2,2012-09-28,0.42748091603053434,0.42678695350451074,0.1457321304649549
hgbr,2,2012-10-28,0.437414030261348,0.43535075653370015,0.12723521320495185
hgbr,2,2012-11-28,0.4464769647696477,0.4444444444444444,0.10907859078590786
hgbr,2,2012-12-28,0.43066202090592337,0.43066202090592337,0.13867595818815331
hgbr,2,2013-01-28,0.43754313319530713,0.43754313319530713,0.12491373360938578
hgbr,2,2013-02-28,0.43983402489626555,0.4384508990318119,0.12171507607192254
hgbr,2,2013-03-28,0.43602225312934634,0.43532684283727396,0.1286509040333797
hgbr,2,2013-04-28,0.44406314344543585,0.4447494852436513,0.11118737131091283
hgbr,2,2013-05-28,0.46184738955823296,0.4605087014725569,0.07764390896921017
hgbr,2,2013-06-28,0.46200403496973774,0.45595158036314726,0.082044384667115
hgbr,2,2013-07-28,0.45681511470985153,0.45479082321187586,0.0883940620782726
hgbr,2,2013-08-28,0.45827725437415884,0.45423956931359355,0.08748317631224764
hgbr,2,2013-09-28,0.4567404426559356,0.45539906103286387,0.08786049631120053
hgbr,2,2013-10-28,0.44635488308115545,0.44222833562585967,0.11141678129298486
hgbr,2,2013-11-28,0.43109540636042404,0.42614840989399294,0.14275618374558305
hgbr,2,2013-12-28,0.4303886925795053,0.4254416961130742,0.14416961130742048
hgbr,2,2014-01-28,0.4402211472011057,0.43538355217691777,0.1243953006219765
hgbr,2,2014-02-28,0.43977976600137647,0.4390915347556779,0.12112869924294563
hgbr,2,2014-03-28,0.4383184011026878,0.43694004135079256,0.12474155754651964
hgbr,2,2014-04-28,0.44785276073619634,0.44103612815269255,0.1111111111111111
hgbr,2,2014-05-28,0.4739549839228296,0.4694533762057878,0.05659163987138264
hgbr,2,2014-06-28,0.4384404924760602,0.43296853625171,0.12859097127222982
hgbr,2,2014-07-28,0.4273801250868659,0.4232105628908965,0.14940931202223767
hgbr,2,2014-08-28,0.42857142857142855,0.420249653259362,0.15117891816920942
hgbr,2,2014-09-28,0.4415322580645161,0.43481182795698925,0.12365591397849462
hgbr,2,2014-10-28,0.4479578392621871,0.44664031620553357,0.10540184453227931
hgbr,2,2014-11-28,0.4624277456647399,0.4592164418754014,0.0783558124598587
hgbr,2,2014-12-28,0.4280821917808219,0.42191780821917807,0.15
hgbr,2,2015-01-28,0.43089430894308944,0.4268292682926829,0.14227642276422764
hgbr,2,2015-02-28,0.4164934164934165,0.41372141372141374,0.16978516978516978
hgbr,2,2015-03-28,0.45501618122977344,0.45307443365695793,0.09190938511326861
hgbr,2,2015-04-28,0.4395457581830327,0.4355377421509686,0.12491649966599866
hgbr,2,2015-05-28,0.4555483452303699,0.45295262816353016,0.09149902660609993
